, , , Query 1, , , , , , Query 2, , , , , , Query 3, , , , , , Query 4, , , , , , Query 5, , , , , , Query 6, , , , , , Query 7, , , , , , Query 8, , , , , , Query 9Query 10
alpha, beta, gamma, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, Avg precision@10, Avg pattern precision@10, Avg recall@10, Avg pattern recall@10, Avg F-measure@2.0, Avg R-precision, Avg pattern-R-precision
0.0, 0.0, 1.0, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.6666666666666666, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.25, 0.08333333333333333, 0.38461538461538464, 1.0, 0.34722222222222227, 0.15384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05263157894736842, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.058823529411764705, 0.6, 1.0, 0.375, 0.4, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.4, 0.07142857142857142, 0.5, 1.0, 0.47619047619047616, 0.375, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.5, 0.0, 0.21000000000000002, 0.06737566956607202, 0.565128205128205, 0.9, 0.3749183006535948, 0.3062179487179487, 0.0
0.0, 0.1, 0.9, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1111111111111111, 0.3076923076923077, 1.0, 0.2777777777777778, 0.15384615384615385, 0.0, 0.05, 0.08333333333333333, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05263157894736842, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.05555555555555555, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.0625, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.4375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21500000000000002, 0.07879490392648288, 0.6541025641025641, 1.0, 0.394015522875817, 0.3308012820512821, 0.0
0.0, 0.2, 0.8, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1111111111111111, 0.3076923076923077, 1.0, 0.2777777777777778, 0.23076923076923078, 0.0, 0.05, 0.08333333333333333, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.058823529411764705, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.0625, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.07142857142857142, 0.5, 1.0, 0.47619047619047616, 0.4375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21500000000000002, 0.07885854341736694, 0.6541025641025641, 1.0, 0.394015522875817, 0.3384935897435898, 0.0
0.0, 0.3, 0.7, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1111111111111111, 0.3076923076923077, 1.0, 0.2777777777777778, 0.23076923076923078, 0.0, 0.05, 0.08333333333333333, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.0625, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.058823529411764705, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.0625, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21500000000000002, 0.0779656862745098, 0.6541025641025641, 1.0, 0.394015522875817, 0.33224358974358975, 0.0
0.0, 0.4, 0.6, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1111111111111111, 0.3076923076923077, 1.0, 0.2777777777777778, 0.23076923076923078, 0.0, 0.05, 0.07142857142857142, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.0625, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.058823529411764705, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21500000000000002, 0.07719187675070027, 0.6541025641025641, 1.0, 0.394015522875817, 0.33224358974358975, 0.0
0.0, 0.5, 0.5, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1111111111111111, 0.3076923076923077, 1.0, 0.2777777777777778, 0.23076923076923078, 0.0, 0.05, 0.07142857142857142, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.058823529411764705, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.07142857142857142, 0.5, 1.0, 0.47619047619047616, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21500000000000002, 0.0812593370681606, 0.6541025641025641, 1.0, 0.394015522875817, 0.3259935897435898, 0.0
0.0, 0.6, 0.4, 0.5, 0.07692307692307693, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1, 0.23076923076923078, 1.0, 0.20833333333333334, 0.23076923076923078, 0.0, 0.05, 0.07142857142857142, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05263157894736842, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.06666666666666667, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.07142857142857142, 0.5, 1.0, 0.47619047619047616, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21000000000000002, 0.08311419574577468, 0.6464102564102564, 1.0, 0.38707107843137256, 0.3259935897435898, 0.0
0.0, 0.7, 0.3, 0.5, 0.07692307692307693, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1, 0.3076923076923077, 1.0, 0.2777777777777778, 0.23076923076923078, 0.0, 0.05, 0.06666666666666667, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.058823529411764705, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.06666666666666667, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.08333333333333333, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.07142857142857142, 0.5, 1.0, 0.47619047619047616, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21500000000000002, 0.0849238669826905, 0.6541025641025641, 1.0, 0.394015522875817, 0.3259935897435898, 0.0
0.0, 0.8, 0.2, 0.45, 0.07142857142857142, 0.75, 1.0, 0.661764705882353, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1, 0.3076923076923077, 1.0, 0.2777777777777778, 0.15384615384615385, 0.0, 0.05, 0.06666666666666667, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.058823529411764705, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.25, 0.06666666666666667, 1.0, 1.0, 0.625, 0.4, 0.0, 0.05, 0.08333333333333333, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.07142857142857142, 0.5, 1.0, 0.47619047619047616, 0.3125, 0.0, 0.35, 0.1, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21500000000000002, 0.08326330532212885, 0.6657692307692308, 1.0, 0.39916258169934643, 0.3183012820512821, 0.0
0.0, 0.9, 0.1, 0.45, 0.0625, 0.75, 1.0, 0.661764705882353, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.25, 0.1, 0.38461538461538464, 1.0, 0.34722222222222227, 0.23076923076923078, 0.0, 0.05, 0.06666666666666667, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.25, 0.07142857142857142, 1.0, 1.0, 0.625, 0.6, 0.0, 0.05, 0.08333333333333333, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.35, 0.09090909090909091, 0.4375, 1.0, 0.41666666666666663, 0.3125, 0.0, 0.35, 0.1, 0.7, 1.0, 0.5833333333333334, 0.5, 0.0, 0.21500000000000002, 0.08516233766233766, 0.6672115384615385, 1.0, 0.4001546451914099, 0.3359935897435898, 0.0
