, , , Query 1, , , , , , Query 2, , , , , , Query 3, , , , , , Query 4, , , , , , Query 5, , , , , , Query 6, , , , , , Query 7, , , , , , Query 8, , , , , , Query 9Query 10
alpha, beta, gamma, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, precision@10, patternPrecision@10, recall@10, patternRecall@10, F-measure@2.0, R-precision, pattern-R-precision, Avg precision@10, Avg pattern precision@10, Avg recall@10, Avg pattern recall@10, Avg F-measure@2.0, Avg R-precision, Avg pattern-R-precision
0.0, 0.0, 1.0, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.6666666666666666, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.25, 0.08333333333333333, 0.38461538461538464, 1.0, 0.34722222222222227, 0.15384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05263157894736842, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.058823529411764705, 0.6, 1.0, 0.375, 0.4, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.4, 0.07142857142857142, 0.5, 1.0, 0.47619047619047616, 0.375, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.5, 0.0, 0.21000000000000002, 0.06737566956607202, 0.565128205128205, 0.9, 0.3749183006535948, 0.3062179487179487, 0.0
0.0, 0.1, 0.9, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.07692307692307693, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05263157894736842, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.058823529411764705, 0.6, 1.0, 0.375, 0.4, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.4375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.5, 0.0, 0.21000000000000002, 0.08165527884568133, 0.6597435897435898, 1.0, 0.3901960784313726, 0.3208012820512821, 0.0
0.0, 0.2, 0.8, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.07692307692307693, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.058823529411764705, 0.6, 1.0, 0.375, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.4375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.20500000000000002, 0.08305878761761114, 0.6264102564102564, 1.0, 0.3745710784313726, 0.3308012820512821, 0.0
0.0, 0.3, 0.7, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.06666666666666667, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.0625, 0.6, 1.0, 0.375, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.4375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.20500000000000002, 0.08192460317460318, 0.6264102564102564, 1.0, 0.3745710784313726, 0.3308012820512821, 0.0
0.0, 0.4, 0.6, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.06666666666666667, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.0625, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.4375, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21000000000000002, 0.08192460317460318, 0.6464102564102564, 1.0, 0.38707107843137256, 0.3308012820512821, 0.0
0.0, 0.5, 0.5, 0.5, 0.058823529411764705, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.0625, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.0625, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.4, 0.06666666666666667, 0.5, 1.0, 0.47619047619047616, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.21000000000000002, 0.08114028944911297, 0.6464102564102564, 1.0, 0.38707107843137256, 0.3183012820512821, 0.0
0.0, 0.6, 0.4, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.05555555555555555, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.0625, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.35, 0.07142857142857142, 0.4375, 1.0, 0.41666666666666663, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.20500000000000002, 0.08128968253968254, 0.6401602564102564, 1.0, 0.38111869747899163, 0.3183012820512821, 0.0
0.0, 0.7, 0.3, 0.5, 0.07692307692307693, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.05555555555555555, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.07142857142857142, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.058823529411764705, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.3, 0.08333333333333333, 0.375, 1.0, 0.35714285714285715, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.2, 0.0849238669826905, 0.6339102564102564, 1.0, 0.3751663165266107, 0.3183012820512821, 0.0
0.0, 0.8, 0.2, 0.5, 0.07692307692307693, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.14285714285714285, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.05555555555555555, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.07142857142857142, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.058823529411764705, 0.8, 1.0, 0.5000000000000001, 0.6, 0.0, 0.05, 0.06666666666666667, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.25, 0.08333333333333333, 0.3125, 1.0, 0.2976190476190476, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.195, 0.0849238669826905, 0.6276602564102565, 1.0, 0.3692139355742297, 0.33830128205128207, 0.0
0.0, 0.9, 0.1, 0.45, 0.07142857142857142, 0.75, 1.0, 0.661764705882353, 0.6666666666666666, 0.0, 0.2, 0.125, 0.4, 1.0, 0.33333333333333337, 0.2, 0.0, 0.1, 0.1, 0.15384615384615385, 1.0, 0.1388888888888889, 0.15384615384615385, 0.0, 0.05, 0.07142857142857142, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.08333333333333333, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.25, 0.07692307692307693, 1.0, 1.0, 0.625, 0.6, 0.0, 0.05, 0.058823529411764705, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.25, 0.07142857142857142, 0.3125, 1.0, 0.2976190476190476, 0.3125, 0.0, 0.35, 0.1111111111111111, 0.7, 1.0, 0.5833333333333334, 0.6, 0.0, 0.19, 0.08409053364935719, 0.6316346153846153, 1.0, 0.3674165499533147, 0.3199679487179487, 0.0
0.0, 1.0, 0.0, 0.2, 0.1111111111111111, 0.3333333333333333, 1.0, 0.29411764705882354, 0.3333333333333333, 0.0, 0.1, 0.09090909090909091, 0.2, 1.0, 0.16666666666666669, 0.2, 0.0, 0.15, 0.09090909090909091, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.07142857142857142, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.5, 0.0, 0.05, 0.08333333333333333, 0.3333333333333333, 1.0, 0.15625, 0.0, 0.0, 0.15, 0.1111111111111111, 0.6, 1.0, 0.375, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.07692307692307693, 0.125, 1.0, 0.11904761904761904, 0.125, 0.0, 0.1, 0.1, 0.2, 1.0, 0.16666666666666669, 0.2, 0.0, 0.10000000000000002, 0.08071539571539571, 0.40224358974358976, 0.9, 0.20515581232492996, 0.1712179487179487, 0.0
0.1, 0.0, 0.9, 0.5, 0.06666666666666667, 0.8333333333333334, 1.0, 0.7352941176470589, 0.5833333333333334, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.3, 0.0, 0.2, 0.1111111111111111, 0.3076923076923077, 1.0, 0.2777777777777778, 0.15384615384615385, 0.0, 0.05, 0.09090909090909091, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07692307692307693, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.05263157894736842, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.0625, 0.6, 1.0, 0.375, 0.4, 0.0, 0.05, 0.0625, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.25, 0.06666666666666667, 0.3125, 1.0, 0.2976190476190476, 0.25, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.5, 0.0, 0.19, 0.08010193023350917, 0.605352564102564, 1.0, 0.35532504668534076, 0.2853846153846154, 0.0
0.1, 0.1, 0.8, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.6666666666666666, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.2, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.07692307692307693, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.07142857142857142, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.0625, 0.6, 1.0, 0.375, 0.4, 0.0, 0.05, 0.058823529411764705, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.3, 0.06666666666666667, 0.375, 1.0, 0.35714285714285715, 0.3125, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.5, 0.0, 0.19, 0.0783564066652302, 0.6039102564102563, 1.0, 0.35433298319327733, 0.28996794871794873, 0.0
0.1, 0.2, 0.7, 0.5, 0.0625, 0.8333333333333334, 1.0, 0.7352941176470589, 0.75, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.2, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.08333333333333333, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.0625, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.0625, 0.6, 1.0, 0.375, 0.4, 0.0, 0.05, 0.05555555555555555, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.25, 0.07692307692307693, 0.3125, 1.0, 0.2976190476190476, 0.3125, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.6, 0.0, 0.185, 0.07922008547008547, 0.5976602564102563, 1.0, 0.34838060224089634, 0.3083012820512821, 0.0
0.1, 0.3, 0.6, 0.45, 0.05, 0.75, 1.0, 0.661764705882353, 0.75, 0.0, 0.2, 0.1111111111111111, 0.4, 1.0, 0.33333333333333337, 0.2, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.06666666666666667, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.06666666666666667, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.15, 0.06666666666666667, 0.6, 1.0, 0.375, 0.4, 0.0, 0.05, 0.05555555555555555, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.25, 0.07692307692307693, 0.3125, 1.0, 0.2976190476190476, 0.3125, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.6, 0.0, 0.18, 0.07713675213675214, 0.5893269230769229, 1.0, 0.3410276610644257, 0.3083012820512821, 0.0
0.1, 0.4, 0.5, 0.45, 0.05555555555555555, 0.75, 1.0, 0.661764705882353, 0.75, 0.0, 0.2, 0.1, 0.4, 1.0, 0.33333333333333337, 0.2, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.058823529411764705, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.06666666666666667, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.0625, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.05555555555555555, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.25, 0.07692307692307693, 0.3125, 1.0, 0.2976190476190476, 0.3125, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.6, 0.0, 0.185, 0.0753802161890397, 0.6093269230769229, 1.0, 0.35352766106442574, 0.3083012820512821, 0.0
0.1, 0.5, 0.4, 0.45, 0.05555555555555555, 0.75, 1.0, 0.661764705882353, 0.75, 0.0, 0.15, 0.1, 0.3, 1.0, 0.25, 0.2, 0.0, 0.15, 0.1111111111111111, 0.23076923076923078, 1.0, 0.20833333333333334, 0.15384615384615385, 0.0, 0.05, 0.058823529411764705, 1.0, 1.0, 0.20833333333333334, 0.0, 0.0, 0.1, 0.06666666666666667, 1.0, 1.0, 0.35714285714285715, 0.0, 0.0, 0.1, 0.06666666666666667, 0.6666666666666666, 1.0, 0.3125, 0.3333333333333333, 0.0, 0.2, 0.0625, 0.8, 1.0, 0.5000000000000001, 0.4, 0.0, 0.05, 0.05555555555555555, 0.3333333333333333, 1.0, 0.15625, 0.3333333333333333, 0.0, 0.25, 0.07142857142857142, 0.3125, 1.0, 0.2976190476190476, 0.3125, 0.0, 0.3, 0.1, 0.6, 1.0, 0.5, 0.6, 0.0, 0.18, 0.07483076563958915, 0.599326923076923, 1.0, 0.34519432773109243, 0.3083012820512821, 0.0
